time,open,high,low,close,volume
1726458300,25406.65,25411.6,25369.75,25376.5,0
1726458305,25372.45,25385.1,25366.0,25383.2,0
1726458310,25386.7,25394.0,25382.55,25383.25,0
1726458315,25381.65,25384.2,25378.05,25383.5,0
1726458320,25386.9,25389.75,25384.85,25386.35,0
1726458325,25388.85,25392.15,25386.2,25386.9,0
1726458330,25387.35,25394.9,25387.35,25390.0,0
1726458335,25390.0,25398.0,25390.0,25395.25,0
1726458340,25395.25,25396.55,25391.55,25395.0,0
1726458345,25396.35,25398.8,25395.2,25397.75,0
1726458350,25398.45,25401.35,25396.4,25396.4,0
1726458355,25397.45,25398.15,25393.95,25394.75,0
1726458360,25395.85,25397.95,25393.4,25397.95,0
1726458365,25398.55,25400.15,25396.0,25398.25,0
1726458370,25397.95,25399.0,25395.7,25397.1,0
1726458375,25398.1,25400.05,25396.0,25399.25,0
1726458380,25400.7,25400.7,25397.6,25397.6,0
1726458385,25400.55,25400.55,25397.6,25397.85,0
1726458390,25398.0,25398.4,25395.45,25397.6,0
1726458395,25398.5,25399.7,25394.0,25394.9,0
1726458400,25393.35,25393.35,25389.55,25391.1,0
1726458405,25391.25,25394.65,25390.85,25393.1,0
1726458410,25393.8,25397.1,25393.4,25394.45,0
1726458415,25393.85,25399.75,25393.85,25396.1,0
1726458420,25394.3,25398.05,25393.3,25395.95,0
1726458425,25395.05,25397.25,25392.75,25395.15,0
1726458430,25395.35,25396.25,25393.8,25396.25,0
1726458435,25396.05,25397.05,25394.85,25394.85,0
1726458440,25395.65,25396.5,25394.0,25394.75,0
1726458445,25394.9,25396.3,25393.65,25396.3,0
1726458450,25395.45,25400.9,25395.45,25399.7,0
1726458455,25400.2,25400.35,25398.05,25398.75,0
1726458460,25398.65,25399.5,25397.15,25399.35,0
1726458465,25399.2,25399.2,25394.85,25395.05,0
1726458470,25399.2,25401.2,25398.05,25400.5,0
1726458475,25402.2,25402.75,25401.0,25402.25,0
1726458480,25402.9,25402.9,25398.8,25400.15,0
1726458485,25402.05,25402.05,25398.65,25400.35,0
1726458490,25400.15,25402.8,25399.65,25401.8,0
1726458495,25399.65,25401.05,25399.45,25400.65,0
1726458500,25401.3,25404.15,25400.9,25403.6,0
1726458505,25404.5,25405.05,25402.4,25402.4,0
1726458510,25404.55,25404.55,25402.2,25402.3,0
1726458515,25402.3,25403.3,25400.25,25400.25,0
1726458520,25400.8,25401.85,25398.85,25400.9,0
1726458525,25400.9,25401.35,25398.55,25400.0,0
1726458530,25400.35,25401.25,25399.15,25401.25,0
1726458535,25402.0,25402.0,25397.8,25399.05,0
1726458540,25401.1,25401.1,25398.15,25398.6,0
1726458545,25400.2,25400.2,25392.7,25393.0,0
1726458550,25394.55,25394.95,25392.1,25394.15,0
1726458555,25392.8,25395.6,25392.8,25394.6,0
1726458560,25396.3,25396.3,25394.3,25395.65,0
1726458565,25394.15,25396.0,25393.55,25395.1,0
1726458570,25395.45,25398.05,25395.4,25397.5,0
1726458575,25397.85,25398.6,25396.4,25398.6,0
1726458580,25399.9,25399.9,25396.8,25396.8,0
1726458585,25398.75,25399.35,25397.05,25398.15,0
1726458590,25396.85,25397.15,25395.7,25395.8,0
1726458595,25393.9,25396.95,25393.9,25395.3,0
1726458600,25396.5,25396.5,25393.45,25394.6,0
1726458605,25394.8,25394.8,25391.4,25392.95,0
1726458610,25393.2,25393.2,25388.7,25390.75,0
1726458615,25390.25,25392.45,25389.75,25392.45,0
1726458620,25392.85,25396.2,25390.5,25395.95,0
1726458625,25395.1,25396.9,25394.0,25396.4,0
1726458630,25397.7,25398.2,25395.7,25397.15,0
1726458635,25397.8,25398.3,25396.1,25397.95,0
1726458640,25398.65,25398.65,25395.45,25395.6,0
1726458645,25397.3,25397.3,25394.75,25397.25,0
1726458650,25397.2,25397.4,25395.7,25396.85,0
1726458655,25398.3,25398.6,25395.7,25396.7,0
1726458660,25396.25,25396.25,25394.2,25395.2,0
1726458665,25394.55,25396.05,25392.75,25396.05,0
1726458670,25396.0,25396.85,25391.2,25391.2,0
1726458675,25392.05,25394.35,25392.05,25394.0,0
1726458680,25393.9,25394.45,25393.4,25394.45,0
1726458685,25393.7,25393.7,25391.5,25392.75,0
1726458690,25392.45,25393.65,25390.55,25391.5,0
1726458695,25392.25,25395.35,25390.5,25395.35,0
1726458700,25396.15,25396.15,25391.5,25392.2,0
1726458705,25391.7,25391.75,25390.4,25391.2,0
1726458710,25391.65,25392.1,25390.95,25391.4,0
1726458715,25391.55,25391.85,25390.65,25391.05,0
1726458720,25390.55,25390.55,25387.2,25388.55,0
1726458725,25388.7,25389.75,25387.35,25389.4,0
1726458730,25390.1,25390.1,25387.7,25387.9,0
1726458735,25387.85,25388.75,25387.0,25388.05,0
1726458740,25390.45,25390.45,25388.0,25390.3,0
1726458745,25389.9,25389.9,25387.7,25387.7,0
1726458750,25389.15,25389.2,25387.6,25388.8,0
1726458755,25387.85,25389.3,25387.85,25388.9,0
1726458760,25389.35,25391.2,25387.05,25389.95,0
1726458765,25389.3,25391.25,25388.85,25391.25,0
1726458770,25390.95,25393.7,25390.9,25391.2,0
1726458775,25392.0,25392.0,25389.95,25390.85,0
1726458780,25389.75,25392.25,25389.2,25391.7,0
